Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,ShotDiff,TargetDiff
2015-09-27,Getafe,Levante,3,0,H,0,0,D,15,10,8,3,11,10,4,4,2,3,0,0,SP1 (9),3,3,5,5
2015-09-27,La Coruna,Espanol,3,0,H,2,0,H,14,7,5,3,11,11,7,5,4,3,0,1,SP1 (9),3,3,7,2
2015-10-02,Celta,Getafe,0,0,D,0,0,D,18,8,7,2,11,18,9,1,1,5,0,0,SP1 (9),0,0,10,5
2015-10-03,Sevilla,Barcelona,2,1,H,0,0,D,12,28,5,9,16,16,7,9,5,3,0,0,SP1 (9),3,1,-16,-4
2015-10-03,Espanol,Sp Gijon,1,2,A,0,1,A,13,12,9,2,17,16,9,1,3,3,0,0,SP1 (9),3,-1,1,7
2015-10-03,Granada,La Coruna,1,1,D,0,1,A,10,14,3,3,13,21,2,5,1,3,0,0,SP1 (9),2,0,-4,0
2015-10-03,Las Palmas,Eibar,0,2,A,0,1,A,18,9,4,4,5,16,3,2,2,2,0,0,SP1 (9),2,-2,9,0
2015-10-03,Malaga,Sociedad,3,1,H,2,1,H,11,13,7,5,15,16,2,4,3,2,1,0,SP1 (9),4,2,-2,2
2015-10-04,Vallecano,Betis,0,2,A,0,1,A,23,9,9,6,13,14,8,3,4,2,0,0,SP1 (9),2,-2,14,3
2015-10-04,Levante,Villarreal,1,0,H,0,0,D,15,3,5,2,15,17,8,2,4,3,0,1,SP1 (9),1,1,12,3
2015-10-04,Ath Bilbao,Valencia,3,1,H,1,1,D,16,9,7,4,12,9,11,4,0,4,0,0,SP1 (9),4,2,7,3
2015-10-04,Ath Madrid,Real Madrid,1,1,D,0,1,A,18,9,4,2,19,12,5,1,6,4,0,0,SP1 (9),2,0,9,2
2015-10-17,Barcelona,Vallecano,5,2,H,2,1,H,14,22,9,8,8,15,7,10,1,2,0,0,SP1 (9),7,3,-8,1
2015-10-17,Betis,Espanol,1,3,A,0,1,A,21,13,6,4,18,21,4,3,2,4,0,0,SP1 (9),4,-2,8,2
2015-10-17,Eibar,Sevilla,1,1,D,1,0,H,14,15,4,5,16,9,2,5,3,3,0,0,SP1 (9),2,0,-1,-1
2015-10-17,Real Madrid,Levante,3,0,H,2,0,H,20,15,6,5,8,10,4,4,1,4,0,0,SP1 (9),3,3,5,1
2015-10-17,Valencia,Malaga,3,0,H,2,0,H,6,10,3,3,18,21,6,8,3,3,0,0,SP1 (9),3,3,-4,0
2015-10-18,Villarreal,Celta,1,2,A,0,1,A,12,13,3,2,10,12,7,4,1,3,1,0,SP1 (9),3,-1,-1,1
2015-10-18,Getafe,Las Palmas,4,0,H,2,0,H,14,16,7,3,18,15,5,1,2,1,0,1,SP1 (9),4,4,-2,4
2015-10-18,La Coruna,Ath Bilbao,2,2,D,0,1,A,16,7,3,2,8,18,4,6,2,2,0,0,SP1 (9),4,0,9,1
2015-10-18,Sociedad,Ath Madrid,0,2,A,0,1,A,11,7,1,3,14,11,5,2,4,5,2,0,SP1 (9),2,-2,4,-2
2015-10-19,Sp Gijon,Granada,3,3,D,1,2,A,16,14,6,7,10,13,6,1,3,4,0,2,SP1 (9),6,0,2,-1
2015-10-23,Vallecano,Espanol,3,0,H,1,0,H,13,9,7,3,15,11,6,5,2,1,1,1,SP1 (9),3,3,4,4
2015-10-24,Celta,Real Madrid,1,3,A,0,2,A,17,14,7,8,17,16,5,7,4,1,1,0,SP1 (9),4,-2,3,-1
2015-10-24,Granada,Betis,1,1,D,1,1,D,17,7,7,2,8,11,3,3,3,3,0,0,SP1 (9),2,0,10,5
2015-10-24,Malaga,La Coruna,2,0,H,0,0,D,9,10,4,1,11,10,3,5,0,1,0,0,SP1 (9),2,2,-1,3
2015-10-24,Sevilla,Getafe,5,0,H,2,0,H,22,6,13,0,18,15,7,3,1,1,0,1,SP1 (9),5,5,16,13
2015-10-25,Ath Madrid,Valencia,2,1,H,2,0,H,16,6,8,1,26,10,9,2,4,4,0,0,SP1 (9),3,1,10,7
2015-10-25,Barcelona,Eibar,3,1,H,1,1,D,14,7,5,5,14,18,6,2,3,5,1,0,SP1 (9),4,2,7,0
2015-10-25,Las Palmas,Villarreal,0,0,D,0,0,D,6,5,2,0,12,14,6,6,1,2,0,0,SP1 (9),0,0,1,2
2015-10-25,Levante,Sociedad,0,4,A,0,2,A,13,13,3,6,24,15,10,3,4,3,1,0,SP1 (9),4,-4,0,-3
2015-10-26,Ath Bilbao,Sp Gijon,3,0,H,2,0,H,20,6,6,0,8,15,9,3,1,3,0,0,SP1 (9),3,3,14,6
2015-10-30,La Coruna,Ath Madrid,1,1,D,0,1,A,7,12,3,3,4,9,1,5,2,0,0,0,SP1 (9),2,0,-5,0
2015-10-31,Villarreal,Sevilla,2,1,H,1,0,H,11,6,5,3,17,14,7,5,5,3,0,0,SP1 (9),3,1,5,2
2015-10-31,Sociedad,Celta,2,3,A,2,1,H,20,16,5,8,9,12,8,7,2,5,0,0,SP1 (9),5,-1,4,-3
2015-10-31,Valencia,Levante,3,0,H,0,0,D,13,10,6,5,19,21,5,5,2,3,0,0,SP1 (9),3,3,3,1
